id,type,route,img,page,data
3,route-heading,1,1,124,Poste dalla Città di Roma per la Santissima Casa di Nostra Signora di Loreto
9,route-heading,2,1,124,Poste da Loreto à Bologna
18,route-heading,3,2,125,Poste da Roma à Bologna per Loreto
25,route-heading,4,3,126,Poste da Loreto à Perugia per Assisi
29,route-heading,5,3,126,Poste da Roma à Genova
42,route-heading,6,5,128,Poste da Genova à Lione
55,route-heading,7,6,129,Poste da Lione à Madrid
80,route-heading,8,9,132,Poste da Roma à Madrid per la via più breve & ordinaria delle Poste
88,route-heading,9,10,133,Poste da Milano à Madrid per il più frequente camino
106,route-heading,10,12,135,Poste da Milano à Turino
109,route-heading,11,12,135,Poste da Milano a Lione di Francia
112,route-heading,12,12,135,Poste da Milano à Genova
118,route-heading,13,12,135,"Poste da Genova ad Antibo, e Lione per Avignone"
129,route-heading,14,13,136,"Poste da Milano à Madrid por Genova Antibo, e Lione"
136,route-heading,15,14,137,Poste da Roma à Napoli
142,route-heading,16,14,137,Poste da Napoli à Missina
153,route-heading,17,15,138,Poste da Messina à Palermo
159,route-heading,18,16,139,Poste da Roma à Palermo
163,route-heading,19,16,139,Poste da Napoli à Lecce di Puglia
183,route-heading,20,17,140,Poste da Roma all Aquila
194,route-heading,21,18,141,"Poste da Roma à Ciuita Vecchia, del Lario"
198,route-heading,22,18,141,Poste da Roma à Firenze per Val d'Arno
209,route-heading,23,19,142,Poste da Roma a Perugia
216,route-heading,24,20,143,Poste da da Roma à San Francesco d' Assisi
219,route-heading,25,20,143,Foste da Roma à Firenzę
230,route-heading,26,21,144,Poste da Roma à Pisa
233,route-heading,27,21,144,Poste da Roma a Milano Poste da Firenxe à Boloper il più breue camins gna
249,route-heading,28,22,145,Poste da Bolegna à Milano
252,route-heading,29,22,145,Poste da Milano à Modena
255,route-heading,30,22,145,Poste da Roma a Monte Pulcrano
262,route-heading,31,23,146,Poste da Roma à Venetia
273,route-heading,32,24,147,Poste da Roma à Pesaro
276,route-heading,33,24,147,Poste da Venetia à Pesaro
279,route-heading,34,24,147,Poste da Ferrara à BoPoste da Venesta à Ralogna Uenna
281,route-heading,35,24,147,Poste da Ve netia à Remini
283,route-heading,36,24,147,Poste da Venetia à Chiozza
286,route-heading,37,24,147,Poste da Ferrara à Rauenna
297,route-heading,38,25,148,Poste da Mantua à Fervara
301,route-heading,39,25,148,Posto da Ferrara à Faenza
305,route-heading,40,25,148,Poste da Ferrara à Venetia
310,route-heading,41,25,148,Poste da Ferrara à Roma perla Marca
319,route-heading,42,26,149,Poste da Ferrara a Roma per Firenze
323,route-heading,43,26,149,"Poste da Venatia a Ferrava per il Pò, & Mare però miglia"
327,route-heading,44,26,149,"Poste da Parma a Ferrara, cioè miglia per trauerso"
334,route-heading,45,27,150,Poste da Perugia à Ancona per trauerso
338,route-heading,46,27,150,Poste da Firenze à Perugia
344,route-heading,47,27,150,Da Firenze a Assisi
351,route-heading,48,28,151,Poste da Firenze à Reggio di Toscana
354,route-heading,49,28,151,"Poste da Firenze à drid Corte del Ré Cattolico, per il più quente delle Poste"
358,route-heading,50,28,151,Poste da Firenze à Paris
362,route-heading,51,28,151,"Poste da Firenze a Pares per Milano, e Nansi di Lorena"
371,route-heading,52,29,152,Poste da Mantua à Chiavenna il più breve
375,route-heading,53,29,152,Poste da Mantua a Bressa
377,route-heading,54,29,152,Poste da Morbegno à Bressa
380,route-heading,55,29,152,Poste da Mantua a Parma
386,route-heading,56,30,153,Poste da Genova a Mantua
392,route-heading,57,30,153,Poste da Bologna à Ravenna
401,route-heading,58,31,154,Poste da Lucca a Genova
407,route-heading,59,31,154,Poste da Genova à Sarzana
410,route-heading,60,31,154,Poste da Venetia à Genova per la via di Parma
420,route-heading,61,32,155,"Poste da Genova à Parmn per il Mare, e Monti"
423,route-heading,62,32,155,Poste da Venetia à Parma
432,route-heading,63,33,156,Poste da Firenze a Pistoia
435,route-heading,64,33,156,Poste da Fossomibrone a Perugia
439,route-heading,65,33,156,Poste da Genona à Barcelona
459,route-heading,66,36,158,Poste da Genova à Avignone per Terra
462,route-heading,67,36,158,Poste da Genova al Mondovì
465,route-heading,68,36,158,Poste da Genova à Cuneo
468,route-heading,69,36,158,Poste da Savona à Turino
472,route-heading,70,36,158,Poste da Barcelona à Perpignano
477,route-heading,71,37,159,Poste da Milano a Venetia
483,route-heading,72,37,159,Poste da Milan à Verona
489,route-heading,73,38,160,Poste da Milano a Bressa
492,route-heading,74,38,160,Poste da Venetia a Verona
495,route-heading,75,38,160,Poste da Venetia à Bergamo
498,route-heading,76,38,160,Poste da Milano a Bressa per altra via
504,route-heading,77,38,160,"Altro camino, che non vi sono le Poste"
506,route-heading,78,38,160,Poste da Milano a Man tua
515,route-heading,79,39,161,Poste da Milano à Cremona
518,route-heading,80,39,161,Poste da Milano à Venetia per detto camino
524,route-heading,81,39,161,Poste da Milano à Trento
535,route-heading,82,40,162,Poste da Milano a Praga
555,route-heading,83,42,164,"Poste da Milano à Praga per altra via, però non vi si può correre, che non vi si trovano li caaalli"
566,route-heading,84,43,165,Poste da Milano à Bruseles
577,route-heading,85,44,166,Poste da Milano a Nansi di Lorena
580,route-heading,86,44,166,Poste da Milano à Basilea
583,route-heading,87,44,166,Poste da Milano à Lucerna
587,route-heading,88,44,166,Poste da Milano à Praga per altra via
596,route-heading,89,45,167,Poste da Praga à Linz
599,route-heading,90,45,167,Poste da Milano a Bruseles per altra via di traverso
607,route-heading,91,45,167,Poste da Milano à Saverna
610,route-heading,92,45,167,Poste da Saverna à Nansi
616,route-heading,93,46,168,Poste da Milano à Saverna
620,route-heading,94,46,168,Poste da Milano à Madrid per il Monte Sempione
631,route-heading,95,47,169,"Poste da Milano à Madrid per Lione e Tolosa, Porto de Venazque, & çaragoça, però non è frequentato da Corrieri"
642,route-heading,96,48,170,"Poste da Milano à Madrid per la via di Cunio, & Avignone"
657,route-heading,97,50,172,Poste da Milano à Madrid per la via di Genova et Mare
669,route-heading,98,51,173,"Poste da Milano à Madrid per Nansi di Lorena, e Parigi"
676,route-heading,99,52,174,Da Milano à Madrid per via delli Svizzeri
680,route-heading,100,52,174,Poste da Milano à Madrid per altra via di traverso
689,route-heading,101,53,175,Poste da Milano à Auosta
693,route-heading,102,53,175,Poste da Auosta à Mommigliano
699,route-heading,103,53,175,Poste da Milano a Costanza
706,route-heading,104,54,176,Poste da Milano a Costanza per la via dell'ordinario
710,route-heading,105,54,176,Poste da Milano à Ferrara
716,route-heading,106,54,176,Poste da Milane à Bologna per la via di Mantua
725,route-heading,107,55,177,Poste da Milano à Ferrara per Parma
733,route-heading,108,55,177,Poste da Milano à Pesaro
743,route-heading,109,56,178,Poste da Milano à Urbino
747,route-heading,110,56,178,Poste da Milano a Firenze per Pontremoli
758,route-heading,111,57,179,Poste da Milano à Lucca Pigliate il sudet¬
762,route-heading,112,57,179,Poste da Milano à Pisa
765,route-heading,113,57,179,Poste da Milano à Pontremoli
768,route-heading,114,57,179,Poste da Milano à Piacenza
775,route-heading,115,58,180,Poste da Milano à Livorno Porto di Toscana
780,route-heading,116,58,180,Poste da Milano à Guastalla
784,route-heading,117,58,180,Poste da Milano à Coreggio
792,route-heading,118,59,181,Poste da Modena à Coreggio
800,route-heading,119,59,181,Poste da Milano à Finale
804,route-heading,120,59,181,Poste da Milano à Alessandria
809,route-heading,121,60,182,Poste da Milano à Monaco Riviera di Genova
