id,trans_id,img,type,lines,data,pts
1,facs_1_ra0ef_19,1,page-number,1,124,"106,12 576,20 576,167 106,159"
2,facs_1_rY4z2_12,1,header,1,Libro Terzo.,"649,7 1483,7 1483,173 649,173"
3,facs_1_region_1600638009952_1229,1,route-heading,4,Poste dalla Città di Roma per la Santissima Casa di Nostra Signora di Loreto.,"147,174 944,174 944,488 147,488"
4,facs_1_ruFYd_14,1,locations,22,Roma Città a prima porta a Castelnouo castel lo a Rignano Passarete il Tevere a Civita Castellana Città Passarete il Tevere a otricoli a Narni Città de Sa bini Passarete il Teuere a Terni Città a Strettura a Spoletto Città dell'Umbria al passo di Spolet¬ ro a Foligno Città a Varchino Passarete il Tiente,"110,499 827,499 835,2203 118,2203"
5,facs_1_TextRegion_1600643920388_1292,1,distances,12,p.1 p.1 p.1 p.1 p.1 p.1 p.1 p.1 p.1 p.1 p.1 p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
6,facs_1_rmhvz_16,1,locations,16,"più volte al piano di Digna¬ no a Serraualle al la Mutia Castel¬ lo a Valzimara a Tolentino Città a Macerata Città della Marca Passarete il Tiente fiume a Recanati Città a Loreto Città, oue è la Sāta Casa Au¬ reta.","954,171 1654,171 1654,1406 954,1406"
7,facs_1_rKgT1_6,1,distances,8,p.1 p.1 p.1 p.1 p.1 p.1 p.1 p.*,"1567,229 1835,229 1835,1420 1567,1420"
8,facs_1_rGZjx_21,1,sum-distance,1,Poste 19*,"1340,1427 1835,1427 1835,1541 1340,1541"
9,facs_1_region_1600638085195_1256,1,route-heading,1,Poste da Loreto à Bologna.,"1010,1557 1788,1557 1788,1619 1010,1619"
10,facs_1_rkTfB_13,1,locations,7,Loretto Città a Signigaglia Cit¬ tà Passarete il fiume metro a Fane Città a Pesaro Città del,"954,1616 1647,1616 1647,2213 954,2213"
11,facs_1_r3OV2_3,1,distances,2,p.3 p.1,"1557,1727 1801,1727 1801,2135 1557,2135"
12,facs_1_rzFZ9_1,1,catch-word,1,Duca,"958,2118 1835,2118 1835,2382 958,2382"
13,facs_2_r56xj_21,2,page-number,1,125,"1130,16 1777,16 1777,183 1130,183"
14,facs_2_rPrKz_12,2,header,1,Delle Poste.,"669,16 1270,16 1270,188 669,188"
15,facs_2_r2DYo_20,2,locations,24,"Duca d'Urbino alla Cattolica a Rimini Città di S. Chiesa Si passarano li fiumi Mareggia, & Osi. a Savignano si pas¬ sarà il fiume Savi gnano a Cesena Città a Forli Città Si passa l'Amor fiume a Faenza Città Passarete Ii Santer¬ no e'I Semo fiumi a Imola Città Passarete il Giava fiume a San Nicolò Passarate gl'Idice & Saverna fiumi a Bologna Città am plissima della Pro vincia de Boi.","21,195 751,195 751,2068 21,2068"
16,facs_2_TextRegion_1600645584475_1474,2,distances,11,p.2 p.2 p.1 p.1 p.1 p.1 p.1. p.1 p.1 p.1 p.1.,"625,157 857,157 864,674 864,1217 864,1311 864,1729 847,2072 620,2072 620,1824"
17,facs_2_rNYrH_33,2,sum-distance,1,Poste 15,"413,2114 874,2114 874,2258 413,2258"
18,facs_2_region_1600645597595_1480,2,,2,Poste da Roma à Bologna per Loreto.,"894,191 1695,191 1695,345 894,345"
19,facs_2_rWlxE_19,2,locations,6,"Da Roma à Lore¬ to, vedete il pri¬ mo Viaggio Da Loreto à Bolo gna questo, che è qui sopra","862,340 1548,340 1548,835 862,835"
20,facs_2_TextRegion_1600645624584_1490,2,distances,2,p.18* p.15,"1437,461 1685,461 1685,591 1666,840 1422,840 1422,698"
21,facs_2_rFfRy_34,2,sum-distance,1,Poste 33*,"1268,872 1642,872 1642,966 1268,966"
22,facs_2_TextRegion_1600645654127_1501,2,locations,16,"Volendo passare per Ancona conviene che da Loreto vada alla Città di Osma, e poi à Ancona, che sono 3. picciole Poste. Si puo anche lasciare osma & andere à drit tura, che sono quinde¬ ci miglia in tutto. Volendo andare da Lo reto ad Ancona peril Sirolo per vedere il Santissimo Crocifisso, vi sono in tutto dieci¬ otto miglia.","862,944 1695,944 1695,2130 1654,2205 876,2205 862,2130 857,1497 857,973"
23,facs_2_r30j3_1,2,catch-word,1,Poste,"1176,2186 1683,2186 1683,2345 1176,2345"
24,facs_3_rfkIQ_21,3,page-number,2,Libro Terzo 126,"108,14 999,14 999,144 108,144"
25,facs_3_region_1600704956047_149,3,route-heading,2,Poste da Loreto à Perugia per Assisi.,"108,154 893,154 893,321 108,321"
26,facs_3_rWJwp_18,3,locations,21,"Loretto Città A Recanati Si passa il Tronte a Macerata Città a Tolentino Città a Valzimara Alla muzza a Serravalle alle Case nuove a Folini Città dell¬ Umbria a Sissi Città ove è il deposito del Sera¬ sico S. Frācesco Dilà due miglia S. Maria de gl'Ange¬ li, e poi si passa il Tevere a Perugia Città, e Studio nell'Um¬ Bria.","113,364 729,370 729,2011 113,2005"
27,facs_3_TextRegion_1600705595051_166,3,distances,10,p.* p.1 p.1 p.1. p.1 p.1 p.1 p.1 p.1 p.1,"734,433 934,437 951,1775 951,2019 746,2019 734,1261"
28,facs_3_rcmdS_25,3,sum-distance,1,p.9*,"560,2083 954,2083 956,2198 562,2198"
29,facs_3_region_1600705623518_176,3,route-heading,1,Poste da Roma à Genova.,"950,157 1731,157 1731,234 950,234"
30,facs_3_rlGSz_19,3,locations,24,"Roma Città alla storta a Baccano a Monterosio a Ronciglione Ca¬ stello a Viterbo Città a Monte Fiascone Città a Bolsena Città a Acqua pendente Città Passarete la paglia a Ponte cētino, pas¬ farete un fiumicel¬ lo, e guardate a Radicoffani Castel lo altissimo. alla scala Passarete l'orca fiu¬ me à Tornieri à Lucignano Passarete l'Arbia","932,273 1690,273 1690,2193 932,2193"
31,facs_3_TextRegion_1600705645817_188,3,distances,13,p.1 p.1. p.1. p.1 p.1 p.1 p.1 p.1 p.1. p.1 p.1 p.1 p.1,"1548,350 1768,350 1789,1860 1789,2121 1572,2121 1557,1850 1548,874"
32,facs_3_rxo09_1,3,catch-word,1,fiume,"1374,2176 1734,2176 1734,2307 1374,2307"
33,facs_4_region_1603729371778_1128,4,page-number,1,127,"1725,213 1320,213 1320,60 1725,60"
34,facs_4_region_1603729399546_1139,4,header,1,Delle Poste.,"647,53 1103,53 1103,182 647,182"
