line_id,id,trans_id,img,type,line_nr,data,pts
1,1,facs_1_ra0ef_19,1,page-number,1,124,"106,12 576,20 576,167 106,159"
2,2,facs_1_rY4z2_12,1,header,1,Libro Terzo.,"649,7 1483,7 1483,173 649,173"
3,3,facs_1_region_1600638009952_1229,1,route-heading,1,Poste dalla Città di Roma,"147,174 944,174 944,488 147,488"
4,3,facs_1_region_1600638009952_1229,1,route-heading,2,per la Santissima Casa,"147,174 944,174 944,488 147,488"
5,3,facs_1_region_1600638009952_1229,1,route-heading,3,di Nostra Signora di,"147,174 944,174 944,488 147,488"
6,3,facs_1_region_1600638009952_1229,1,route-heading,4,Loreto.,"147,174 944,174 944,488 147,488"
7,4,facs_1_ruFYd_14,1,locations,1,Roma Città,"110,499 827,499 835,2203 118,2203"
8,4,facs_1_ruFYd_14,1,locations,2,a prima porta,"110,499 827,499 835,2203 118,2203"
9,4,facs_1_ruFYd_14,1,locations,3,a Castelnouo castel,"110,499 827,499 835,2203 118,2203"
10,4,facs_1_ruFYd_14,1,locations,4,lo,"110,499 827,499 835,2203 118,2203"
11,4,facs_1_ruFYd_14,1,locations,5,a Rignano,"110,499 827,499 835,2203 118,2203"
12,4,facs_1_ruFYd_14,1,locations,6,Passarete il Tevere,"110,499 827,499 835,2203 118,2203"
13,4,facs_1_ruFYd_14,1,locations,7,a Civita Castellana,"110,499 827,499 835,2203 118,2203"
14,4,facs_1_ruFYd_14,1,locations,8,Città,"110,499 827,499 835,2203 118,2203"
15,4,facs_1_ruFYd_14,1,locations,9,Passarete il Tevere,"110,499 827,499 835,2203 118,2203"
16,4,facs_1_ruFYd_14,1,locations,10,a otricoli,"110,499 827,499 835,2203 118,2203"
17,4,facs_1_ruFYd_14,1,locations,11,a Narni Città de Sa,"110,499 827,499 835,2203 118,2203"
18,4,facs_1_ruFYd_14,1,locations,12,bini,"110,499 827,499 835,2203 118,2203"
19,4,facs_1_ruFYd_14,1,locations,13,Passarete il Teuere,"110,499 827,499 835,2203 118,2203"
20,4,facs_1_ruFYd_14,1,locations,14,a Terni Città,"110,499 827,499 835,2203 118,2203"
21,4,facs_1_ruFYd_14,1,locations,15,a Strettura,"110,499 827,499 835,2203 118,2203"
22,4,facs_1_ruFYd_14,1,locations,16,a Spoletto Città,"110,499 827,499 835,2203 118,2203"
23,4,facs_1_ruFYd_14,1,locations,17,dell'Umbria,"110,499 827,499 835,2203 118,2203"
24,4,facs_1_ruFYd_14,1,locations,18,al passo di Spolet¬,"110,499 827,499 835,2203 118,2203"
25,4,facs_1_ruFYd_14,1,locations,19,ro,"110,499 827,499 835,2203 118,2203"
26,4,facs_1_ruFYd_14,1,locations,20,a Foligno Città,"110,499 827,499 835,2203 118,2203"
27,4,facs_1_ruFYd_14,1,locations,21,a Varchino,"110,499 827,499 835,2203 118,2203"
28,4,facs_1_ruFYd_14,1,locations,22,Passarete il Tiente,"110,499 827,499 835,2203 118,2203"
29,5,facs_1_TextRegion_1600643920388_1292,1,distances,1,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
30,5,facs_1_TextRegion_1600643920388_1292,1,distances,2,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
31,5,facs_1_TextRegion_1600643920388_1292,1,distances,3,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
32,5,facs_1_TextRegion_1600643920388_1292,1,distances,4,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
33,5,facs_1_TextRegion_1600643920388_1292,1,distances,5,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
34,5,facs_1_TextRegion_1600643920388_1292,1,distances,6,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
35,5,facs_1_TextRegion_1600643920388_1292,1,distances,7,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
36,5,facs_1_TextRegion_1600643920388_1292,1,distances,8,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
37,5,facs_1_TextRegion_1600643920388_1292,1,distances,9,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
38,5,facs_1_TextRegion_1600643920388_1292,1,distances,10,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
39,5,facs_1_TextRegion_1600643920388_1292,1,distances,11,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
40,5,facs_1_TextRegion_1600643920388_1292,1,distances,12,p.1,"756,500 966,500 970,968 970,2171 765,2171 756,903"
41,6,facs_1_rmhvz_16,1,locations,1,più volte,"954,171 1654,171 1654,1406 954,1406"
42,6,facs_1_rmhvz_16,1,locations,2,al piano di Digna¬,"954,171 1654,171 1654,1406 954,1406"
43,6,facs_1_rmhvz_16,1,locations,3,no,"954,171 1654,171 1654,1406 954,1406"
44,6,facs_1_rmhvz_16,1,locations,4,a Serraualle,"954,171 1654,171 1654,1406 954,1406"
45,6,facs_1_rmhvz_16,1,locations,5,al la Mutia Castel¬,"954,171 1654,171 1654,1406 954,1406"
46,6,facs_1_rmhvz_16,1,locations,6,lo,"954,171 1654,171 1654,1406 954,1406"
47,6,facs_1_rmhvz_16,1,locations,7,a Valzimara,"954,171 1654,171 1654,1406 954,1406"
48,6,facs_1_rmhvz_16,1,locations,8,a Tolentino Città,"954,171 1654,171 1654,1406 954,1406"
49,6,facs_1_rmhvz_16,1,locations,9,a Macerata Città,"954,171 1654,171 1654,1406 954,1406"
50,6,facs_1_rmhvz_16,1,locations,10,della Marca,"954,171 1654,171 1654,1406 954,1406"
